gleason_pattern,explanation,short_explanation,sub_explanation_index,sub_explanation,histoset_level,concept_set_use
Gleason pattern 3,variable sized well-formed individual and discrete glands,individual glands,3.01,"well-formed, relatively uniform atypical glands with evenly distributed lumina",sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 3,variable sized well-formed individual and discrete glands,individual glands,3.02,either minute or large and cyst-like atrophic atypical glands,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 3,variable sized well-formed individual and discrete glands,individual glands,3.03,"single, individual atypical glands separated from each other",sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 3,variable sized well-formed individual and discrete glands,individual glands,3.04,atypical glands lying very closely together (with little stroma between adjacent atypical glands),sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 3,variable sized well-formed individual and discrete glands,individual glands,3.05,atypical glands infiltrate between benign glands,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 3,variable sized well-formed individual and discrete glands,individual glands,3.06,atypical glands are looser than a nodule and are infiltrative,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 3,compressed or angular discrete glands,compressed glands,3.07,compressed or angular atypical glands,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 3,compressed or angular discrete glands,compressed glands,3.08,"atypical glands with an irregularly separated, ragged, poorly defined edge",sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.01,atypical glands fused or grown together into cords or chains,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.02,hypernephroid pattern fusion of acini into more solid sheets with the appearance of back-to-back glands without intervening stroma,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.03,hypernephroid pattern nests of clear cells resembling renal cell carcinoma,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.04,"hypernephroid pattern small, hyperchromatic nuclei",sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.05,"irregular contours, jagged edges of atypical glands",sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.06,large atypical glands,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.07,slit-like lumina,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.08,irregular distribution of lumina,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,poorly formed and fused glands,poorly formed glands,4.09,atypical glands very close together (with little or no stroma),sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,Cribriform glands,cribriform glands,4.10,cribriform confluent sheet of contiguous carcinoma cells with multiple glandular lumina that are easily visible at low power (objective magnification 10x),sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,Cribriform glands,cribriform glands,4.11,cribriform larger than a normal prostate gland; tends to fragmentation,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,Cribriform glands,cribriform glands,4.12,cribriform single or fused glandular structures connected to each other (no intervening stroma or mucin),sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,Glomeruloid glands,glomeruloid glands,4.13,glomeruloid pattern contains a tuft of cells that is largely detached from its surrounding duct space except for a single point of attachment,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 4,Glomeruloid glands,glomeruloid glands,4.14,glomeruloid pattern rare small cribriform variant resembling glomerulus structures of kidney,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 5,solid groups of tumor cells,groups of tumor cells,5.01,solid tumor cell clusters with nonpolar nuclei around a lumen,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 5,single cells,single cells,5.02,single cells with vacuoles (signet ring cells) but without glandular lumina,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 5,single cells,single cells,5.03,single cells,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 5,cords,cords,5.04,single cells forming cords,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 5,presence of comedonecrosis,comedonecrosis,5.05,presence of definite comedonecrosis (central necrosis),sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 5,presence of comedonecrosis,comedonecrosis,5.06,presence of definite comedonecrosis (central necrosis) with intraluminal necrotic cells,sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
Gleason pattern 5,presence of comedonecrosis,comedonecrosis,5.07,"presence of definite comedonecrosis (central necrosis) with karyorrhexis within papillary, cribriform spaces",sub-explanation -> explanation -> Gleason pattern,eligible child concept for calibrated HistoSet output sets
